,rank_year,ranks,title,author,no_of_reviews,ratings,price,cover_type,genre
0,2009,1.0,The Lost Symbol,Dan Brown,16118.0,4.4,12.49,Hardcover,Fiction
1,2009,2.0,The Shack: Where Tragedy Confronts Eternity,William P. Young,23392.0,4.7,13.4,Paperback,Fiction
2,2009,3.0,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,5036.0,4.8,9.93,Hardcover,Non Fiction
3,2009,4.0,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,16912.0,4.7,14.3,Hardcover,Fiction
4,2009,5.0,Going Rogue: An American Life,Sarah Palin,1572.0,4.6,9.99,Hardcover,Non Fiction
5,2009,6.0,StrengthsFinder 2.0,Gallup,7082.0,4.1,18.29,Hardcover,Non Fiction
6,2009,7.0,The Help,Kathryn Stockett,18068.0,4.8,12.66,Hardcover,Fiction
7,2009,8.0,New Moon (The Twilight Saga),Stephenie Meyer,12329.0,4.7,17.56,Paperback,Fiction
8,2009,9.0,The Twilight Saga Collection,Stephenie Meyer,6100.0,4.7,58.9,Hardcover,Fiction
9,2009,10.0,Outliers: The Story of Success,Malcolm Gladwell,22209.0,4.7,16.04,Hardcover,Non Fiction
10,2009,11.0,Eclipse (Twilight),Stephenie Meyer,12771.0,4.7,19.62,Hardcover,Fiction
11,2009,12.0,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,22103.0,4.7,15.49,Paperback,Fiction
12,2009,13.0,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,1421.0,4.6,5.91,Paperback,Non Fiction
13,2009,14.0,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,3497.0,4.4,11.49,Paperback,Non Fiction
14,2009,15.0,The Love Dare,Stephen Kendrick,3298.0,4.8,11.78,Paperback,Non Fiction
15,2009,16.0,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,7043.0,4.6,20.45,Hardcover,Non Fiction
16,2009,17.0,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,7979.0,4.7,11.6,Hardcover,Fiction
17,2009,18.0,Under the Dome: A Novel,Stephen King,9110.0,4.4,31.61,Hardcover,Fiction
18,2009,19.0,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,14884.0,4.7,10.42,Paperback,Fiction
19,2009,20.0,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,929.0,4.5,10.76,Paperback,Non Fiction
20,2009,21.0,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,895.0,4.6,10.5,Hardcover,Non Fiction
21,2009,22.0,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",Julia Child,7568.0,4.8,28.49,Hardcover,Non Fiction
22,2009,23.0,Sookie Stackhouse,Charlaine Harris,995.0,4.7,82.15,Mass Market Paperback,Fiction
23,2009,24.0,The Time Traveler's Wife,Audrey Niffenegger,6592.0,4.5,9.99,Paperback,Fiction
24,2009,25.0,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,12674.0,4.5,24.29,Paperback,Non Fiction
25,2009,26.0,True Compass: A Memoir,Edward M. Kennedy,509.0,4.5,13.98,Hardcover,Non Fiction
26,2009,27.0,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,15466.0,4.5,9.49,Paperback,Fiction
27,2009,28.0,The 5000 Year Leap,W. Cleon Skousen,2565.0,4.8,16.6,Paperback,Non Fiction
28,2009,29.0,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,5803.0,4.5,16.5,Hardcover,Non Fiction
29,2009,30.0,Eclipse (Twilight Sagas),Stephenie Meyer,12771.0,4.7,23.9,Paperback,Fiction
30,2009,31.0,Where the Wild Things Are,Maurice Sendak,32044.0,4.9,13.2,Hardcover,Fiction
31,2009,32.0,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,6262.0,4.6,20.72,Hardcover,Non Fiction
32,2009,33.0,Olive Kitteridge,Elizabeth Strout,11519.0,4.3,8.77,Paperback,Fiction
33,2009,34.0,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,2790.0,4.7,11.74,Hardcover,Fiction
34,2009,35.0,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,1158.0,4.3,14.97,Paperback,Non Fiction
35,2009,36.0,"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,2373.0,4.6,17.54,Hardcover,Non Fiction
36,2009,37.0,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,5732.0,4.4,12.99,Paperback,Non Fiction
37,2009,38.0,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,1920.0,4.7,16.48,Paperback,Non Fiction
38,2009,39.0,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,14955.0,4.8,10.44,Hardcover,Fiction
39,2009,40.0,The Elegance of the Hedgehog,Muriel Barbery,3486.0,4.2,9.09,Paperback,Fiction
40,2009,41.0,"I, Alex Cross",James Patterson,3242.0,4.6,9.8,Hardcover,Fiction
41,2009,42.0,The Girl Who Played with Fire (Millennium),Stieg Larsson,10693.0,4.7,22.8,Hardcover,Fiction
42,2009,43.0,The Last Lecture,Randy Pausch,5899.0,4.7,14.95,Hardcover,Non Fiction
43,2009,44.0,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,886.0,4.6,14.72,Paperback,Non Fiction
44,2009,45.0,Watchmen,Alan Moore,7746.0,4.8,33.99,Paperback,Fiction
45,2009,46.0,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,1676.0,4.6,19.99,Paperback,Non Fiction
46,2009,47.0,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,1387.0,4.7,25.0,Hardcover,Non Fiction
47,2009,48.0,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All Universes",Zhi Gang Sha,60.0,4.6,16.0,Hardcover,Non Fiction
48,2009,51.0,Diary of a Wimpy Kid Do-it-yourself Book,Jeff Kinney,9371.0,4.8,21.98,Hardcover,Fiction
49,2009,52.0,Open: An Autobiography,Andre Agassi,8639.0,4.7,15.71,Hardcover,Non Fiction
50,2009,53.0,Pride and Prejudice and Zombies,Jane Austen,2047.0,4.3,9.78,Paperback,Fiction
51,2009,54.0,Cook Yourself Thin: Skinny Meals You Can Make in Minutes,"Lifetime Television,",888.0,4.3,10.95,Paperback,Non Fiction
52,2009,55.0,Hungry Girl: 200 Under 200: 200 Recipes Under 200 Calories,Lisa Lillien,901.0,4.4,9.54,Paperback,Non Fiction
53,2009,56.0,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,11833.0,4.7,18.49,Hardcover,Non Fiction
54,2009,57.0,A Bold Fresh Piece of Humanity,Bill O'Reilly,764.0,4.7,7.96,Hardcover,Non Fiction
55,2009,58.0,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,5477.0,4.8,14.52,Hardcover,Non Fiction
56,2009,59.0,The Book Thief,Markus Zusak,34536.0,4.7,6.99,Paperback,Fiction
57,2009,60.0,South of Broad,Pat Conroy,2484.0,4.5,15.85,Hardcover,Fiction
58,2009,61.0,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,3678.0,4.6,10.33,Paperback,Non Fiction
59,2009,62.0,The Host,Stephenie Meyer,9715.0,4.6,20.58,Hardcover,Fiction
60,2009,63.0,Master Your Metabolism: The 3 Diet Secrets to Naturally Balancing Your Hormones for a Hot and Healthy Body!,Jillian Michaels,929.0,4.3,9.79,Hardcover,Non Fiction
61,2009,64.0,Ford County: Stories,John Grisham,4306.0,4.4,11.3,Hardcover,Fiction
62,2009,65.0,"Culture of Corruption: Obama and His Team of Tax Cheats, Crooks, and Cronies",Michelle Malkin,1094.0,4.6,9.06,Hardcover,Non Fiction
63,2009,66.0,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,8638.0,4.5,11.04,Paperback,Non Fiction
64,2009,67.0,"Diary of a Wimpy Kid, Book 1",Jeff Kinney,16590.0,4.8,16.97,Hardcover,Fiction
65,2009,68.0,The Graveyard Book,Neil Gaiman,7133.0,4.7,15.2,Hardcover,Fiction
66,2009,69.0,An Echo in the Bone (Outlander),Diana Gabaldon,16893.0,4.8,28.99,Hardcover,Fiction
67,2009,70.0,"The Gathering Storm (Wheel of Time, Book 12)",Robert Jordan,6337.0,4.8,19.81,Hardcover,Fiction
68,2009,71.0,Dreams from My Father: A Story of Race and Inheritance,Barack Obama,7581.0,4.7,16.99,Paperback,Non Fiction
69,2009,72.0,Pirate Latitudes: A Novel,Michael Crichton,2837.0,4.3,14.49,Hardcover,Fiction
70,2009,73.0,The Official SAT Study Guide: For the New SAT (tm),The College Board,267.0,4.5,6.21,Paperback,Non Fiction
71,2009,74.0,Getting Things Done: The Art of Stress-Free Productivity,David Allen,4736.0,4.6,24.95,Paperback,Non Fiction
72,2009,75.0,How to Win Friends & Influence People,Dale Carnegie,79094.0,4.7,10.5,Paperback,Non Fiction
73,2009,76.0,The Official SAT Study Guide,The College Board,1526.0,4.4,41.0,Paperback,Non Fiction
74,2009,77.0,Finger Lickin' Fifteen (A Stephanie Plum Novel) (Stephanie Plum Novels),Janet Evanovich,3294.0,4.6,14.01,Hardcover,Fiction
75,2009,78.0,Sarah's Key,Tatiana de Rosnay,4784.0,4.6,10.83,Paperback,Fiction
76,2009,79.0,From Dead to Worse (Sookie Stackhouse/True Blood),Charlaine Harris,2080.0,4.7,7.99,Mass Market Paperback,Fiction
77,2009,80.0,Wolf Hall,Hilary Mantel,10808.0,4.1,34.23,Hardcover,Fiction
78,2009,81.0,The Hunger Games,Suzanne Collins,42770.0,4.7,22.6,Hardcover,Fiction
79,2009,82.0,The Yankee Years,Joe Torre,425.0,4.6,13.2,Hardcover,Non Fiction
