,year,book
0,1919,His Family
1,1920,The Magnificent Ambersons
2,1921,NaN
3,1922,The Age of Innocence
4,1923,Alice Adams
5,1924,One of Ours
6,1925,The Able McLaughlins
7,1926,So Big
8,1927,Arrowsmith
9,1928,Early Autumn
10,1929,The Bridge of San Luis Rey
11,1930,Scarlet Sister Mary
12,1931,Laughing Boy
13,1932,Years of Grace
14,1933,The Good Earth
15,1934,The Store
16,1935,Lamb in His Bosom
17,1936,Now in November
18,1937,Honey in the Horn
19,1938,Gone with the Wind
20,1939,The Late George Apley
21,1940,The Yearling
22,1941,The Grapes of Wrath
23,1942,NaN
24,1943,In This Our Life
25,1944,Dragon's Teeth
26,1945,Journey in the Dark
27,1946,A Bell for Adano
28,1947,NaN
29,1948,All the King's Men
30,1949,Tales of the South Pacific
31,1950,Guard of Honor
32,1951,The Way West
33,1952,The Town
34,1953,The Caine Mutiny
35,1954,The Old Man and the Sea
36,1955,NaN
37,1956,A Fable
38,1957,Andersonville
39,1958,NaN
40,1959,A Death in the Family
41,1960,The Travels of Jaimie McPheeters
42,1961,Advise and Consent
43,1962,To Kill a Mockingbird
44,1963,The Edge of Sadness
45,1964,The Reivers
46,1965,NaN
47,1966,The Keepers of the House
48,1967,The Collected Stories of Katherine Anne Porter
49,1968,The Fixer
50,1969,The Confessions of Nat Turner
51,1970,House Made of Dawn
52,1971,The Collected Stories of Jean Stafford
53,1972,NaN
54,1973,Angle of Repose
55,1974,The Optimist's Daughter
56,1975,NaN
57,1976,The Killer Angels
58,1977,Humboldt's Gift
59,1978,NaN
60,1979,Elbow Room
61,1980,The Stories of John Cheever
