,year,book,author
0,1918,His Family,Ernest Poole
1,1919,The Magnificent Ambersons,Booth Tarkington
2,1920,None awarded,None awarded
3,1921,The Age of Innocence,Edith Wharton
4,1922,Alice Adams,Booth Tarkington
5,1923,One of Ours,Willa Cather
6,1924,The Able McLaughlins,Margaret Wilson
7,1925,So Big,Edna Ferber
8,1926,Arrowsmith,Sinclair Lewis
9,1927,Early Autumn,Louis Bromfield
10,1928,The Bridge of San Luis Rey,Thornton Wilder
11,1929,Scarlet Sister Mary,Julia Peterkin
12,1930,Laughing Boy,Oliver La Farge
13,1931,Years of Grace,Margaret Ayer Barnes
14,1932,The Good Earth,Pearl S. Buck
15,1933,The Store,T. S. Stribling
16,1934,Lamb in His Bosom,Caroline Pafford Miller
17,1935,Now in November,Josephine Johnson
18,1936,Honey in the Horn,H. L. Davis
19,1937,Gone with the Wind,Margaret Mitchell
20,1938,The Late George Apley,John P. Marquand
21,1939,The Yearling,Marjorie Kinnan Rawlings
22,1940,The Grapes of Wrath,John Steinbeck
23,1941,None awarded,None awarded
24,1942,In This Our Life,Ellen Glasgow
25,1943,Dragon's Teeth,Upton Sinclair
26,1944,Journey in the Dark,Martin Flavin
27,1945,A Bell for Adano,John Hersey
28,1946,None awarded,None awarded
29,1947,All the King's Men,Robert Penn Warren
30,1948,Tales of the South Pacific,James A. Michener
31,1949,Guard of Honor,James Gould Cozzens
32,1950,The Way West,A. B. Guthrie Jr.
33,1951,The Town,Conrad Richter
34,1952,The Caine Mutiny,Herman Wouk
35,1953,The Old Man and the Sea,Ernest Hemingway
36,1954,None awarded,None awarded
37,1955,A Fable,William Faulkner
38,1956,Andersonville,MacKinlay Kantor
39,1957,None awarded,None awarded
40,1958,A Death in the Family,James Agee
41,1959,The Travels of Jaimie McPheeters,Robert Lewis Taylor
42,1960,Advise and Consent,Allen Drury
43,1961,To Kill a Mockingbird,Harper Lee
44,1962,The Edge of Sadness,Edwin O'Connor
45,1963,The Reivers,William Faulkner
46,1964,None awarded,None awarded
47,1965,The Keepers of the House,Shirley Ann Grau
48,1966,The Collected Stories of Katherine Anne Porter,Katherine Anne Porter
49,1967,The Fixer,Bernard Malamud
50,1968,The Confessions of Nat Turner,William Styron
51,1969,House Made of Dawn,N. Scott Momaday
52,1970,The Collected Stories of Jean Stafford,Jean Stafford
53,1971,None awarded,None awarded
54,1972,Angle of Repose,Wallace Stegner
55,1973,The Optimist's Daughter,Eudora Welty
56,1974,None awarded,None awarded
57,1975,The Killer Angels,Michael Shaara
58,1976,Humboldt's Gift,Saul Bellow
59,1977,None awarded,None awarded
60,1978,Elbow Room,James Alan McPherson
61,1979,The Stories of John Cheever,John Cheever
62,1980,The Executioner's Song,Norman Mailer
63,1981,A Confederacy of Dunces,John Kennedy Toole
64,1982,Rabbit Is Rich,John Updike
65,1983,The Color Purple,Alice Walker
66,1984,Ironweed,William Kennedy
67,1985,Foreign Affairs,Alison Lurie
68,1986,Lonesome Dove,Larry McMurtry
69,1987,A Summons to Memphis,Peter Taylor
70,1988,Beloved,Toni Morrison
71,1989,Breathing Lessons,Anne Tyler
72,1990,The Mambo Kings Play Songs of Love,Oscar Hijuelos
73,1991,Rabbit At Rest,John Updike
74,1992,A Thousand Acres,Jane Smiley
75,1993,A Good Scent from a Strange Mountain,Robert Olen Butler
76,1994,The Shipping News,Annie Proulx
77,1995,The Stone Diaries,Carol Shields
78,1996,Independence Day,Richard Ford
79,1997,Martin Dressler,Steven Millhauser
80,1998,American Pastoral,Philip Roth
81,1999,The Hours,Michael Cunningham
82,2000,Interpreter of Maladies,Jhumpa Lahiri
83,2001,The Amazing Adventures of Kavalier & Clay,Michael Chabon
84,2002,Empire Falls,Richard Russo
85,2003,Middlesex,Jeffrey Eugenides
86,2004,The Known World,Edward P. Jones
87,2005,Gilead,Marilynne Robinson
88,2006,March,Geraldine Brooks
89,2007,The Road,Cormac McCarthy
90,2008,The Brief Wondrous Life of Oscar Wao,Junot Díaz
91,2009,Olive Kitteridge,Elizabeth Strout
92,2010,Tinkers,Paul Harding
93,2011,A Visit from the Goon Squad,Jennifer Egan
94,2012,None awarded,None awarded
95,2013,The Orphan Master's Son,Adam Johnson
96,2014,The Goldfinch,Donna Tartt
97,2015,All the Light We Cannot See,Anthony Doerr
98,2016,The Sympathizer,Viet Thanh Nguyen
99,2017,The Underground Railroad,Colson Whitehead
100,2018,Less,Andrew Sean Greer
101,2019,The Overstory,Richard Powers
102,2020,The Nickel Boys,Colson Whitehead
103,2021,The Night Watchman,Louise Erdrich
104,2022,The Netanyahus: An Account of a Minor and Ultimately Even Negligible Episode in the History of a Very Famous Family,Joshua Cohen
